Title,Year,Format,Origin,Type
tennis for two,1958,computer,us,sport
spacewar,1962,computer,us,space
computer space,1971,coin-operated,us,space
pong,1972,coin-operated,us,sport
gotcha,1973,coin-operated,us,puzzle
gran trak 10,1974,coin-operated,us,sport
tank,1974,coin-operated,us,conflict
gun fight,1975,coin-operated,us/jp,conflict
crash n' score,1975,coin-operated,us,sport
breakout,1976,coin-operated,us,puzzle
death race,1976,coin-operated,us,sport
combat,1977,home,us,conflict
atari basketball,1978,coin-operated,us,sport
atari football,1978,coin-operated,us,sport
lunar lander,1979,coin-operated,us,space
space invaders,1979,coin-operated,jp,space
asteroids,1979,coin-operated,us,space
nfl football,1979,coin-operated,us,sport
adventure,1979,home,us,platforming
galaxian,1979,coin-operated,jp,space
wizard and the princess,1980,computer,us,fantasy
mystery house,1980,computer,us,puzzle
defender,1980,coin-operated,us,space
pac-man,1980,coin-operated,jp,puzzle
battlezone,1980,coin-operated,us,conflict
missile command,1980,coin-operated,us,space
kaboom!,1981,home,us,puzzle
ms pac-man,1981,coin-operated,us,puzzle
asteroids deluxe,1981,coin-operated,us,space
centipede,1981,coin-operated,us,puzzle
donkey kong,1981,coin-operated,jp,platforming
frogger,1981,coin-operated,jp,platforming
tempest,1981,coin-operated,us,space
softporn adventure,1981,computer,us,x-rated
ultima,1981,computer,us,fantasy
ulysses and the golden fleece,1981,computer,us,fantasy
castle wolfenstein,1981,computer,us,conflict
et,1982,home,us,adaptation
mr do!,1982,coin-operated,jp,puzzle
dig dug,1982,coin-operated,jp,puzzle
joust,1982,coin-operated,us,conflict
jungle hunt,1982,coin-operated,jp,platforming
pole position,1982,coin-operated,us,sport
swordquest,1982,home,us,conflict
yar's revenge,1982,home,us,space
tron,1982,coin-operated,us,fantasy
bachelor party,1982,home,us,x-rated
beat em and eat em,1982,home,us,x-rated
buck rogers and planet of zoom,1982,coin-operated,jp,space
communist mutants from space,1982,home,us,space
custer's revenge,1982,home,us,x-rated
texas chainsaw massacre,1982,home,us,adaptation
nightstalker,1982,home,us,fantasy
pitfall!,1982,home,us,platforming
q*bert,1982,coin-operated,us,puzzle
star wars: empire strikes back,1982,home,us,adaptation
zaxxon,1982,coin-operated,jp,space
star trek: strategic operations simulator,1982,coin-operated,jp,adaptation
burning desire,1982,home,us,x-rated
knight on the town,1982,home,us,x-rated
cathouse blues,1982,home,us,x-rated
chuck norris superkicks,1983,home,us,conflict
gi joe: cobra strike,1983,home,us,adaptation
halloween,1983,home,us,adaptation
dragon's lair,1983,coin-operated,us,fantasy
star wars: return of the jedi,1983,home,us,adaptation
x-man,1983,home,us,x-rated
star wars: jedi arena,1983,home,us,adaptation
star wars: the arcade game,1984,coin-operated,us,adaptation
space ace,1984,coin-operated,us,space
leather goddess of phobos,1986,computer,us,x-rated
super mario bros,1986,home,jp,platforming
