Developer,Game,Based on
"Steven ""Slug"" Russell",Spacewar(1962),
"Martin ""Shag"" Graetz",Spacewar(1962),
Wayne Wiitanen ,Spacewar(1962),
Nolan Bushnell,Computer Space(1971),Spacewar(1962)
Lyle Rains,Asteroids(1979),Spacewar(1962)
Ed Logg,Asteroids(1979),Spacewar(1962)
Bill Pitts,Galaxy Game(1971),Spacewar(1962)
Hugh Tuck,Galaxy Game(1971),Spacewar(1962)
Silias Warner,Orbit War(1974),Spacewar(1962)
Larry Rosenthal,Space Wars(1979),Spacewar(1962)
Tim Skelly,Star Castle(1980),Space Wars(1979)
Tim Skelley,Tail Gunner(1979),Space Wars(1979)
Howard Scott Warshaw,Yar's Revenge(1982),Star Castle(1980)
Ralph Baer,Magnavox Odyssey Tennis(1972),Tennis for Two(1958)
Nolan Bushnell,Pong(1972),Magnvox Odyssey Tennis(1972)
Allan Alcorn,Pong(1972),Magnvox Odyssey Tennis(1972)
Steve Jobs,Breakout(1972),Pong(1972)
Steve Wozniak,Breakout(1972),Pong(1972)
Lyle Rains,Superbreakout(1978),Breakout(1972)
Ed Logg,Superbreakout(1978),Breakout(1972)
Rick Maurer,Space Duel(1982),Asteroids(1979)
Owen Rubin,Space Duel(1982),Asteroids(1979)
Steve Calfee,Space Duel(1982),Asteroids(1979)
Dave Sheppard,Space Duel(1982),Asteroids(1979)
Ed Rotberg,Battlezone(1980),Asteroids(1979)
Eugene Jarvis,Defender(1981),Asteroids(1979)
Bob Whitehead,Chopper Command(1982),Defender(1981)
Mike Halley,Gravitar(1982),Asteroids(1979)
Jeremy Smith,Thrust(1986),Gravitar(1982)
Dan Hewitt,Oids(1987),Asteroids(1979)
Steve Bristow,Tank(1974),Spacewar(1962)
Lyle Rains,Tank(1974),Spacewar(1962)
Steve Mayer,Combat(1977),Tank(1974)
Joe Decuir,Combat(1977),Tank(1974)
Larry Wagner,Combat(1977),Tank(1974)
Larry Kaplan,Combat(1977),Tank(1974)
Allan Alcorn,Gotcha(1973),
William Higenbotham,Tennis for Two(1958),
Tomohiro Nishikado,Gun Fight(1975),
Chris Downend,Atari Basketball(1978),
Alan Miller,Atari Basketball(1978),
Steve Bristow,Atari Football((1978),Atari Basketball(1978)
Tomohiro Nishikado,Space Invaders(1979),Spacewar(1962)
Warren Robinett,Adventure(1979),Colossal Cave Adventure(1976)
William Crowther,Colossal Cave Adventure(1976),
Kazunori Sawano,Galaxian(1979),Space Invaders(1979)
Koichi Tashiro,Galaxian(1979),Space Invaders(1979)
Shigekazu Ishimura,Galaxian(1979),Space Invaders(1979)
Nobuyuki Ohnogi,Galaga(1981),Galaxian(1979)
Roberta Williams,Wizard and the Princess(1980),Mystery House(1980)
Ken Williams,Wizard and the Princess(1980),Mystery House(1980)
Roberta Williams,Mystery House(1980),Colossal Cave Adventure(1976)
Ken Williams,Mystery House(1980),Colossal Cave Adventure(1976)
Toru Iwatani,Pac-Man(1980),
Dave Theurer,Missile Command(1980),
Larry Kaplan,Kaboom!(1981),Avalanche(1978)
Dennis Koble,Avalanche(1978),Breakout(1972)
Dave Sheppard,Asteroids Deluxe(1981),Asteroids(1979)
Ed Logg,Centipede(1981),
Dona Bailey,Centipede(1981),
Shigeru Miyamoto,Donkey Kong(1981),
Dave Theurer,Tempest(1981),Space Invaders(1979)
Chuck Benton,Softporn Adventure(1981),
Richard Garriott,Ultima(1981),
Silias Warner,Castle Wolfenstein(1981),
Howard Scott Warshaw,E.T. The ExtraTerrestrial(1982),
John Newcomer,Joust(1982),Defender(1981)
Bill Pfutzenreuter,Joust(1982),Defender(1981)
Jan Hendricks,Joust(1982),Defender(1981)
Python Anghelo,Joust(1982),Defender(1981)
Tim Murphy,Joust(1982),Defender(1981)
John Kotlarik,Joust(1982),Defender(1981)
Toru Iwatani,Pole Position(1982),
Dan Hitchens,Swordquest(1982),Adventure(1979)
Tod Frye,Swordquest(1982),Adventure(1979)
David Crane,Pitfall!(1982),
Tim Martin,Spelunker(1983),Pitfall!(1982)
Warren Davis,Q'Bert(1982),
Jeff Lee,Q'Bert(1982),
Rick Dyer,Dragon's Lair(1983),Adventure(1979)
Don Bluth,Dragon's Lair(1983),Adventure(1979)
Don Bluth,Space Ace(1984),Dragon's Lair(1983)
Shigeru Miyamoto,Super Mario Brothers(1986),Donkey Kong(1981)
